"Lane","Block","Passes","Distance","Vehicle","Turn","GNDVI","LCI","NDRE","NDVI","OSAVI"
1,"A","4",1,"KXI","Straight",0.593761407113517,0.184168713973676,0.126975458772195,0.636867302941144,0.393446010078531
1,"A","4",2,"KXI","Straight",0.592904777951494,0.191691568406573,0.131054752134577,0.655717436610935,0.403280683136709
1,"A","4",3,"KXI","Straight",0.593439384129487,0.194123034003139,0.132537329182138,0.657979193847038,0.409220152840784
1,"A","4",4,"KXI","Straight",0.595976390936251,0.192780893889057,0.131321091668311,0.659893619233314,0.42277294627016
1,"A","4",5,"KXI","Straight",0.611744148945071,0.207424013210414,0.13991843587334,0.688562702282448,0.441889472271363
1,"A","4",6,"KXI","Straight",0.627087440865265,0.216566891613283,0.14480338640984,0.711082096837731,0.444974207952044
1,"A","4",7,"KXI","Straight",0.62643635062532,0.216655104871166,0.144715143763342,0.713964987806982,0.446348103537334
1,"A","4",8,"KXI","Straight",0.646253400428175,0.230487066805419,0.152452189710446,0.741599654410337,0.470710549097105
1,"A","4",9,"KXI","Straight",0.633419176965729,0.218453032168366,0.145444487191996,0.72041175434496,0.454515478634606
1,"A","4",10,"KXI","Straight",0.624721430772243,0.214576123060218,0.143925071427954,0.705432100013654,0.454452434281902
1,"A","4",11,"KXI","Right",0.616361065655007,0.209337058750413,0.142475041883404,0.680742174630317,0.430804993491679
1,"A","4",12,"KXI","Right",0.610575292873419,0.209591072592889,0.14166780745923,0.687631199005478,0.43972833936754
1,"A","4",13,"KXI","Right",0.630391794409612,0.229112185140938,0.155086407392552,0.70332195173633,0.451338981239469
1,"A","4",14,"KXI","Right",0.608574904896465,0.198312787271796,0.135033730705582,0.667133427269554,0.424258267399532
1,"A","4",15,"KXI","Right",0.596981674588667,0.187980404779282,0.128158464642283,0.656116729670107,0.411877783814197
1,"A","4",16,"KXI","Right",0.615950910266099,0.19728477900844,0.132526934924599,0.686403013915546,0.441326032330843
1,"A","4",17,"KXI","Right",0.605664746376077,0.196366050935029,0.132560020962428,0.679070441078112,0.43034824378912
1,"A","4",18,"KXI","Right",0.611077265506734,0.200980943810665,0.136633828373512,0.672084835948761,0.42671306002347
1,"A","4",19,"KXI","Right",0.627663515142766,0.209773897476154,0.141038856451919,0.697605243143629,0.441752205812996
1,"A","4",20,"KXI","Right",0.630557926477456,0.20841080673094,0.139150878869873,0.706839082165506,0.456449884910124
1,"A","4",21,"KXI","Right",0.622382876607648,0.213739401938461,0.143131582830712,0.708041178122435,0.459743774782982
1,"A","4",22,"KXI","Left",0.625866534402491,0.214166047844541,0.144651997960502,0.694893877012456,0.449331194842988
1,"A","4",23,"KXI","Left",0.614933548741065,0.201239423583463,0.134508205205524,0.698511072576844,0.451661211206657
1,"A","4",24,"KXI","Left",0.616517516329867,0.206807257677663,0.139439160121305,0.692169471160692,0.448840960180631
1,"A","4",25,"KXI","Left",0.615833518628104,0.203697747586338,0.137810812649536,0.683204017156162,0.440786348143417
1,"A","4",26,"KXI","Left",0.605258715745669,0.196829658757301,0.133433499125412,0.67331521158706,0.437914369446787
1,"A","4",27,"KXI","Left",0.587425032822711,0.188303618144418,0.127680906722071,0.664711233027243,0.428808062165525
1,"A","4",28,"KXI","Left",0.586808075707779,0.187438364976175,0.12937653888159,0.637064609271996,0.410547173608187
1,"A","4",29,"KXI","Left",0.587650286349368,0.185223501094899,0.127117546927851,0.643357434918506,0.415921780330595
1,"A","4",30,"KXI","Left",0.591319477158402,0.184098859887094,0.12464113064646,0.662776811202418,0.431405385657472
1,"A","4",31,"KXI","Left",0.616999891819006,0.213337026242734,0.144047593466161,0.692778638364144,0.455020982378659
1,"A","4",32,"KXI","Left",0.585883991957361,0.186182967031816,0.128301247435896,0.636264184007062,0.415849554124567
1,"A","4",33,"KXI","Left",0.592644613247268,0.183660688472704,0.12637379856179,0.638266029838554,0.410867173123297
1,"A","4",34,"KXI","Left",0.586722398950373,0.181171402211434,0.125507012077494,0.625536783430467,0.396626370988226
1,"A","4",35,"KXI","Left",0.589460919215582,0.183976396412854,0.12726865249364,0.630127231644042,0.399951145513028
1,"A","4",36,"KXI","Straight",0.602670360235395,0.189592071654497,0.129881863247336,0.650677237908816,0.417174445574069
1,"A","4",37,"KXI","Left",0.605884536040269,0.198092252434431,0.137131024496699,0.644466647686357,0.408448072326996
1,"A","4",38,"KXI","Left",0.585642487444824,0.189313843200679,0.131453240781533,0.631905452546563,0.397837044874753
1,"A","4",39,"KXI","Left",0.590278364147374,0.197068888711703,0.135928420439615,0.649575326922624,0.40818601632314
1,"A","4",40,"KXI","Right",0.591568333504234,0.201744953453244,0.138871912270547,0.656793862276599,0.420558696359119
1,"A","4",41,"KXI","Right",0.601446079257866,0.202641708444335,0.138368800443889,0.668871268543277,0.426327665993871
1,"A","4",42,"KXI","Right",0.610357260193637,0.209505610021286,0.141439934657039,0.692235197129164,0.447972120803944
1,"A","4",43,"KXI","Right",0.610655071687327,0.208241806763835,0.142307236941885,0.671448339304434,0.443023433746841
1,"A","4",44,"KXI","Straight",0.594706641127879,0.199671286143286,0.136182192044062,0.666725177274654,0.436865209913649
1,"A","4",45,"KXI","Right",0.598072779668866,0.202233108690887,0.137287958315882,0.676170194670032,0.440048692252041
1,"A","4",46,"KXI","Right",0.596939916513109,0.197338707515643,0.134810830931545,0.66043369145894,0.432860177772032
1,"A","4",47,"KXI","Right",0.601795132229389,0.199448219546799,0.135290974887897,0.673903964410069,0.442180800691538
1,"A","4",48,"KXI","Right",0.597595464744611,0.197479750688287,0.134245438880358,0.66850990450456,0.435762367221549
1,"A","4",49,"KXI","Right",0.596992694314805,0.201311917601456,0.136550269387556,0.675335746275801,0.436582271746678
1,"A","4",50,"KXI","Straight",0.627833494323613,0.225014786036287,0.151579765757165,0.708417502195233,0.464414615621175
1,"A","4",51,"KXI","Straight",0.611090898111033,0.204813086297121,0.138625859194145,0.681120336679925,0.441793097843444
1,"A","4",52,"KXI","Straight",0.59057048950599,0.192413976359163,0.133743592574586,0.632326415244681,0.394070354041362
1,"A","4",53,"KXI","Straight",0.620758139168634,0.207938582558885,0.140435943654627,0.689214173614725,0.440703647611588
1,"A","4",54,"KXI","Straight",0.62664113209264,0.202168969978611,0.135559706231543,0.693806016274657,0.447809808324538
1,"A","4",55,"KXI","Straight",0.61552599092518,0.203180878354112,0.137259871229544,0.684074839349334,0.443431392584809
1,"A","4",56,"KXI","Straight",0.624518365688286,0.212932450010725,0.14258359552384,0.706519517216534,0.456535747157858
1,"A","4",57,"KXI","Straight",0.634570520560876,0.228102855548921,0.151338237836426,0.734814874197965,0.476936628584641
1,"A","4",58,"KXI","Straight",0.60566805737641,0.206389228256739,0.13889252289825,0.692856936548575,0.448566509776206
1,"A","4",59,"KXI","Straight",0.613434064591849,0.207989288647282,0.138885366275481,0.705839735981911,0.455018101397665
1,"A","4",60,"KXI","Straight",0.609797182524644,0.208248377409147,0.138456093520423,0.712913333745771,0.462268062961831
2,"A","0",1,"Control","Straight",0.623586088106248,0.220460322925393,0.148282620876796,0.70894758675072,0.42845240625844
2,"A","0",2,"Control","Straight",0.624901482986797,0.218194638483589,0.14628117372934,0.71314295294312,0.430058293238065
2,"A","0",3,"Control","Straight",0.635245084312952,0.225707137173249,0.150721800322936,0.726265510238733,0.444020840953461
2,"A","0",4,"Control","Straight",0.644376242740408,0.233656784691918,0.154945056518047,0.743780811814634,0.464301157440475
2,"A","0",5,"Control","Straight",0.635171929757043,0.220022450367325,0.14740890769604,0.714464389427158,0.444911252454356
2,"A","0",6,"Control","Straight",0.647626452651171,0.222604187282321,0.148592829656078,0.722589008443652,0.449069501485047
2,"A","0",7,"Control","Straight",0.648434451299147,0.227765516537325,0.151418965753853,0.733414669183778,0.447894889147751
2,"A","0",8,"Control","Straight",0.631830487526543,0.226158825737209,0.151975533274774,0.715684524776591,0.425336998508439
2,"A","0",9,"Control","Straight",0.634129496039588,0.227655503161639,0.152341434052713,0.723715284853081,0.434241972200668
2,"A","0",10,"Control","Right",0.647415048621128,0.239351851258318,0.159029313457391,0.745270447448804,0.46325287623562
2,"A","0",11,"Control","Straight",0.660765886055607,0.252090425646318,0.166611916741585,0.766155382208607,0.470251566124686
2,"A","0",12,"Control","Straight",0.654286228134293,0.244003128136648,0.161780983611153,0.753296568141556,0.459614825960079
2,"A","0",13,"Control","Right",0.667326905630075,0.250701986168842,0.165207482582842,0.768663687088367,0.470016750642002
2,"A","0",14,"Control","Right",0.657184066105009,0.245530014954481,0.162996984077023,0.753250328418954,0.45952919559373
2,"A","0",15,"Control","Right",0.648878425271397,0.238722576249422,0.158860990970342,0.743912613106922,0.45105672903173
2,"A","0",16,"Control","Right",0.641333709213387,0.233013227049755,0.154637367104428,0.741072256674982,0.456638602508951
2,"A","0",17,"Control","Right",0.637032767146718,0.233919510971252,0.155602360940369,0.738750922671868,0.448054886716536
2,"A","0",18,"Control","Right",0.616998299095575,0.223697746637678,0.151995545293902,0.696482131792854,0.423519501022875
2,"A","0",19,"Control","Right",0.6580839739688,0.244721880064434,0.161652389305954,0.757895638222717,0.474687203894509
2,"A","0",20,"Control","Straight",0.633378343891953,0.229352670095833,0.154008606173148,0.72037014396078,0.432506608527508
2,"A","0",21,"Control","Left",0.631770759422686,0.22904220825218,0.153567441372437,0.72166353699928,0.442125691432178
2,"A","0",22,"Control","Left",0.651303845462875,0.237886381110358,0.157424099310625,0.749755976515123,0.46632313935388
2,"A","0",23,"Control","Left",0.643088333080329,0.233910948662549,0.155384178536291,0.741360294214107,0.457106168376389
2,"A","0",24,"Control","Left",0.657118049390411,0.242147369158653,0.16008976566149,0.756953623654343,0.469433257325684
2,"A","0",25,"Control","Left",0.670278745505857,0.242828650372419,0.159526366692571,0.766738466001471,0.482655369196931
2,"A","0",26,"Control","Left",0.672290422819115,0.244784476195499,0.161072750021828,0.766061320967484,0.487115552930991
2,"A","0",27,"Control","Left",0.65112612359173,0.2353789904748,0.154841550614691,0.757452376154789,0.485874613490453
2,"A","0",28,"Control","Left",0.634667711336302,0.224406451463004,0.149633502361314,0.726185765392565,0.458762549385579
2,"A","0",29,"Control","Left",0.645095750789245,0.225797248967202,0.149793677315975,0.735360373992566,0.463457864128555
2,"A","0",30,"Control","Left",0.632682970562278,0.218466284201219,0.14629401063396,0.71345058880783,0.448745241254861
2,"A","0",31,"Control","Left",0.640297212589035,0.221800571883228,0.148126864281567,0.719799116938059,0.449084326866672
2,"A","0",32,"Control","Left",0.650729048812753,0.227821276908488,0.15221942071154,0.725891196010624,0.462065994243874
2,"A","0",33,"Control","Straight",0.635457502959108,0.221775600946083,0.147719531663911,0.72549526176004,0.444076535693824
2,"A","0",34,"Control","Left",0.61939732569471,0.209526221865319,0.141082674676085,0.69628503723997,0.422527537420385
2,"A","0",35,"Control","Left",0.584648393372244,0.195644519656728,0.13558461128617,0.640242031921559,0.37641582222588
2,"A","0",36,"Control","Straight",0.573723573084902,0.188514260104022,0.131539313895901,0.623922351027662,0.359805995016827
2,"A","0",37,"Control","Straight",0.574957087451745,0.191672506643234,0.13420212140208,0.621061657440384,0.356948041638046
2,"A","0",38,"Control","Straight",0.575569379954629,0.191786928995469,0.134435757372574,0.619445244000518,0.368148055231869
2,"A","0",39,"Control","Straight",0.570418478815803,0.195053172745408,0.13656012519791,0.623650058896761,0.371443012641218
2,"A","0",40,"Control","Right",0.591970152160861,0.202936276576365,0.140562695526659,0.649419939050921,0.393423153256061
2,"A","0",41,"Control","Right",0.585569889911267,0.196503795257341,0.136771578947225,0.635632241970134,0.379709384749846
2,"A","0",42,"Control","Right",0.594609946862015,0.204028707115756,0.140712625607421,0.654980439444615,0.405973244940072
2,"A","0",43,"Control","Right",0.595108767761749,0.20439789397075,0.140722203070734,0.658159264798585,0.398423818109292
2,"A","0",44,"Control","Right",0.623250321058446,0.227612721962603,0.153628514041826,0.710164512282046,0.440731131699449
2,"A","0",45,"Control","Right",0.623350809362648,0.225013435379603,0.151207788788778,0.714927462270699,0.43963314608271
2,"A","0",46,"Control","Right",0.636454516136436,0.228252506393425,0.15266368134423,0.724129077799799,0.447481324364898
2,"A","0",47,"Control","Right",0.643885826221595,0.237474597838064,0.159244321436789,0.727610350840018,0.458461082979376
2,"A","0",48,"Control","Straight",0.600029826605331,0.207279815620984,0.142804025079576,0.661106261439777,0.401007343559788
2,"A","0",49,"Control","Straight",0.583678807920717,0.199525632980728,0.138229803110002,0.643959928649603,0.38520888944058
2,"A","0",50,"Control","Straight",0.587394606285159,0.205214801898982,0.142517316596831,0.64667450793332,0.388605325001829
2,"A","0",51,"Control","Straight",0.5796509393237,0.197248145181149,0.138091693120927,0.627819987183731,0.375662681666532
2,"A","0",52,"Control","Straight",0.58796371562017,0.195950003615299,0.136246997996301,0.638081306220765,0.375114448110709
2,"A","0",53,"Control","Straight",0.588326442449347,0.192445557247927,0.133405559239413,0.638658052078058,0.378193088993218
2,"A","0",54,"Control","Straight",0.605803866833606,0.19730829442603,0.135671126826861,0.652497804288743,0.393189802753101
2,"A","0",55,"Control","Straight",0.635581971698588,0.244014241632626,0.166185218390965,0.708504521803893,0.43366630350758
2,"A","0",56,"Control","Straight",0.628597451444319,0.224799408156324,0.151173754738133,0.712216429738817,0.440424324782307
2,"A","0",57,"Control","Straight",0.630872010144469,0.23484315476374,0.157094509131816,0.730056618845189,0.450534149029966
