"Block","Vehicle","Distance","Lane","GNDVI","LCI","NDRE","NDVI","OSAVI"
"C","KXI",9,1,0.58287912770626,0.199254497195802,0.138326908024993,0.633694436201486,0.431599263585309
"C","KXI",10,1,0.564059298147352,0.188762072031539,0.133416505638686,0.601491101356972,0.407622932539714
"C","KXI",11,1,0.564171754197327,0.192457880411007,0.135302880613118,0.613026317763424,0.421021585590424
"C","KXI",12,1,0.520096318883484,0.168508929448809,0.122431608247005,0.540065192138151,0.361752367328445
"C","KXI",13,1,0.54098620443469,0.173082450618382,0.124641946100854,0.558893755492567,0.375589166291966
"C","KXI",14,1,0.538253713329631,0.178397322644588,0.127762589416972,0.572393895003117,0.388791833986108
"C","KXI",15,1,0.532456409109808,0.175268625394142,0.128067333783321,0.539728924161982,0.351009279795361
"C","KXI",16,1,0.518899273930295,0.169154096035168,0.124266704765,0.523436638749409,0.346398530530525
"C","KXI",17,1,0.527955365404919,0.164975361678343,0.1191470907136,0.53648483405056,0.364503961838627
"C","KXI",18,1,0.569169909017464,0.190294032879427,0.133548082481039,0.607846796275887,0.411160689306289
"C","KXI",19,1,0.557472855288119,0.186543991870707,0.133075828854217,0.584309165818122,0.395564602603171
"C","KXI",20,1,0.549433983384794,0.17762572878785,0.126432825803355,0.577183666210156,0.396540192230566
"C","KXI",21,1,0.518227327324785,0.166830451772205,0.121085575104536,0.538489354377899,0.358440334415864
"C","KXI",22,1,0.542731859425393,0.17184859256698,0.122124331176243,0.574788251598222,0.380493057819911
"C","KXI",23,1,0.489187018155009,0.138070501290709,0.101189062639174,0.49340301082169,0.320692322316694
"C","KXI",24,1,0.516839181319395,0.159760435419717,0.114580139495641,0.544974940762152,0.364625745607843
"C","KXI",25,1,0.499906389539877,0.152978073219025,0.110532905728984,0.53202758849554,0.344939645377275
"C","KXI",26,1,0.442303045946369,0.123263125376533,0.0921967375836941,0.44590985833326,0.280958128481716
"C","KXI",27,1,0.477778599331551,0.137194184818272,0.100844647304381,0.476398714871056,0.31385875076723
"C","KXI",28,1,0.469807936746652,0.134970653854347,0.101000641710427,0.455237345045359,0.294491829832665
"C","KXI",29,1,0.461552394369386,0.128280349239907,0.0964971252753408,0.434683123230439,0.282096789631584
"C","KXI",30,1,0.43313707201727,0.11697738766893,0.088244508435038,0.414934109361717,0.268568618958222
"C","Standard",1,2,0.464190764768611,0.143396354098031,0.107857026814407,0.460596859394994,0.304082632239516
"C","Standard",2,2,0.521182361221833,0.172289390793083,0.125169186848395,0.544340063536128,0.360225323246299
"C","Standard",3,2,0.539960376821319,0.180743627168764,0.130028068717941,0.567201084621526,0.38060986702601
"C","Standard",4,2,0.484837966201071,0.156383324541713,0.116624156517015,0.487209788146097,0.322977374690763
"C","Standard",5,2,0.47494990875744,0.143809688423049,0.106238386359384,0.486603790843775,0.32375564717641
"C","Standard",6,2,0.477752006807367,0.143165048023264,0.105461125802901,0.4857662828163,0.320946620701948
"C","Standard",7,2,0.476648176811586,0.14217784182982,0.104433115118751,0.480731445887645,0.320855740198767
"C","Standard",8,2,0.470160008693412,0.139898800108504,0.103967789005507,0.469843114599431,0.31497046972222
"C","Standard",9,2,0.541954152842185,0.176331678895202,0.126979839390898,0.565303062896662,0.375757812641663
"C","Standard",10,2,0.565018230683427,0.187446432266578,0.131506713411651,0.611741437770875,0.415230327810403
"C","Standard",11,2,0.538713816420532,0.174795260000926,0.124169287501622,0.575620107384745,0.388466793901882
"C","Standard",12,2,0.449824285735543,0.134704989318574,0.102382702607981,0.443407650906127,0.286240599782275
"C","Standard",13,2,0.49255072677317,0.157859008121809,0.118032004538352,0.492895026531668,0.311355105574518
"C","Standard",14,2,0.492421414015141,0.157215748429498,0.116539251637768,0.494510787959488,0.320933424935841
"C","Standard",15,2,0.536001023813035,0.176505501098667,0.128511487913854,0.53824686801704,0.355368722427225
"C","Standard",16,2,0.545975618424409,0.181563360293913,0.129387384170748,0.570367892071193,0.385310354673468
"C","Standard",17,2,0.555828456897937,0.187212133874585,0.133895769282805,0.581150824011913,0.386377822885584
"C","Standard",18,2,0.545929652780849,0.179882690432148,0.129342191402862,0.569803179030699,0.377675074741138
"C","Standard",19,2,0.556271489176317,0.183844221429074,0.13227256902355,0.57062773067863,0.383064368076282
"C","Standard",20,2,0.510095515693711,0.156216111138364,0.112894075537161,0.52264747187201,0.341607513568171
"C","Standard",21,2,0.476310265282317,0.139928796904703,0.103831976998789,0.47173654118241,0.301831216710482
"C","Standard",22,2,0.440265915961722,0.127970043909501,0.0966928779709311,0.431001133742687,0.276143463170427
"C","Standard",23,2,0.459613848804951,0.136962452728809,0.103601793088499,0.443740883947811,0.28151844762585
"C","Standard",24,2,0.499294018223282,0.156500744550496,0.116028430064444,0.493881066845003,0.319871978453482
"C","Standard",25,2,0.521249843271387,0.163487357336656,0.118107460241173,0.535612534238393,0.346590775955173
"C","Standard",26,2,0.484769993953209,0.13979972287573,0.103151674273948,0.483530625028527,0.308357031661408
"C","Standard",27,2,0.481237240293504,0.138166275366112,0.101340855167896,0.486409167725008,0.312663872489547
"C","Standard",28,2,0.51915668626773,0.165238200947415,0.11804164348991,0.546621834624873,0.36562810795641
"C","Standard",29,2,0.540935351145352,0.174145280990456,0.123277104303286,0.573996019303637,0.388275879477777
"C","Standard",30,2,0.524744472952183,0.164541099755201,0.117354317576523,0.551445878462473,0.363302390723194
"C","Control",1,3,0.553599661878369,0.187800168763237,0.132672676986831,0.599755216336869,0.398353268154626
"C","Control",2,3,0.533065747648853,0.175699153476909,0.126356964239802,0.560863926621828,0.375923614413463
"C","Control",3,3,0.544052060050947,0.177582326317904,0.127065510404286,0.571990191473315,0.382325630459415
"C","Control",4,3,0.561242151354136,0.191956639254691,0.135563440623854,0.602978233343212,0.4054879741158
"C","Control",5,3,0.539825073356526,0.181230790209658,0.129692141026928,0.579387403342622,0.385190202555077
"C","Control",6,3,0.531597022456855,0.175216955138292,0.125367469020981,0.56570321520858,0.367673420639643
"C","Control",7,3,0.450505449504108,0.13397483784637,0.0985026367842145,0.452405259234299,0.297410476203671
"C","Control",8,3,0.453865895299558,0.133546866284141,0.0998950934258042,0.450152954969138,0.287233919767221
"C","Control",9,3,0.490513372631056,0.153943446347978,0.115542282306918,0.484633603573752,0.31595680742013
"C","Control",10,3,0.484178049183847,0.153721715775291,0.115123301762147,0.483929338397865,0.320037645647343
"C","Control",11,3,0.498571452243788,0.161494408996778,0.118743310315752,0.514229048398571,0.338823755570881
"C","Control",12,3,0.490370330418694,0.159513301966101,0.118585875876547,0.498297073540239,0.321259542103495
"C","Control",13,3,0.429481128352263,0.125802043430753,0.0978858126004399,0.401870271094524,0.259530577408411
"C","Control",14,3,0.484695043375008,0.14919758545787,0.110263707198329,0.489788032026593,0.318346237013709
"C","Control",15,3,0.512846413447363,0.162305617784228,0.118810049127551,0.527034146135192,0.338955887304895
"C","Control",16,3,0.524561737927713,0.166749232932205,0.120663065202946,0.549150884486614,0.356251716367769
"C","Control",17,3,0.538881113584419,0.176287256134043,0.127526730027983,0.561486260152221,0.3637895159689
"C","Control",18,3,0.533346815983519,0.17489522953196,0.127623536905248,0.541831963957215,0.35016187384938
"C","Control",19,3,0.524742509186556,0.17548366491161,0.128895298350083,0.535925286795766,0.345065122286211
"C","Control",20,3,0.521938753004209,0.171802432291001,0.126598071343119,0.528430763052975,0.336590983834512
"C","Control",21,3,0.534666254139848,0.173051648889436,0.126072454431388,0.546223772402346,0.356719033506001
"C","Control",22,3,0.541410810465366,0.180175682576654,0.129330536027204,0.569799230385792,0.368577567351183
"C","Control",23,3,0.539335746983813,0.177349077316384,0.127423697338607,0.566744966541303,0.367779259650425
"C","Control",24,3,0.453193929855281,0.132179491389091,0.100173189564469,0.44419674639647,0.27421687072602
"C","Control",25,3,0.452857845353188,0.133287063855034,0.101247597310503,0.440712920269268,0.271466035477924
"C","Control",26,3,0.457206397517545,0.137375530402084,0.104222704850856,0.445714163258852,0.275026641656793
"C","Control",27,3,0.473885045256525,0.142824220914795,0.107295541185255,0.46389550673428,0.287595309918362
"C","Control",28,3,0.486858222611698,0.145258629924628,0.106413058359375,0.495996997838425,0.311262651434981
"C","Control",29,3,0.455831506134493,0.136119158374152,0.102087564285101,0.454783583504715,0.283746710842451
"C","Control",30,3,0.478857338546751,0.146714292389248,0.107552245814114,0.4934623067894,0.31345763444415
